date,open,high,low,close,adj close,volume,company
2004-05-31,15.5,15.6,14.58,15.12,15.12,29425300,AMD
2004-06-07,15.3,16.35,15.29,15.75,15.75,43107800,AMD
2004-06-14,15.75,15.75,14.35,14.88,14.88,33948100,AMD
2004-06-21,14.94,15.8,14.06,15.5,15.5,62235900,AMD
2004-06-28,15.72,16.0,15.09,15.27,15.27,49300100,AMD
2004-07-05,15.0,15.4,14.65,14.81,14.81,39869400,AMD
2004-07-12,14.71,14.71,12.55,12.64,12.64,98600100,AMD
2004-07-19,12.64,12.93,12.11,12.12,12.12,55855800,AMD
2004-07-26,12.15,12.56,11.03,12.49,12.49,65186800,AMD
2004-08-02,12.2,12.29,11.17,11.26,11.26,44912800,AMD
2004-08-09,11.75,11.75,10.76,11.06,11.06,42066200,AMD
2004-08-16,11.06,12.15,10.98,11.97,11.97,32984000,AMD
2004-08-23,12.13,12.44,11.69,11.96,11.96,31409500,AMD
2004-08-30,11.96,11.96,10.76,10.9,10.9,39187700,AMD
2004-09-06,11.1,12.29,10.83,12.21,12.21,35901400,AMD
2004-09-13,12.43,13.16,12.12,12.7,12.7,60076100,AMD
2004-09-20,12.5,13.23,12.24,12.42,12.42,41908600,AMD
2004-09-27,12.25,13.49,12.22,13.43,13.43,30635600,AMD
2004-10-04,13.52,14.22,13.09,13.5,13.5,63037600,AMD
2004-10-11,13.75,14.19,13.51,14.0,14.0,43621500,AMD
2004-10-18,13.9,15.99,13.88,15.56,15.56,80683300,AMD
2004-10-25,15.49,16.85,15.41,16.82,16.82,47501300,AMD
2004-11-01,16.88,18.1,16.45,17.09,17.09,85402900,AMD
2004-11-08,17.09,21.1,17.02,21.02,21.02,84664300,AMD
2004-11-15,20.85,22.49,20.5,20.81,20.81,83660800,AMD
2004-11-22,20.5,21.83,20.0,21.54,21.54,29954300,AMD
2004-11-29,21.85,23.5,20.86,23.22,23.22,66041400,AMD
2004-12-06,23.22,24.95,21.65,21.83,21.83,84665800,AMD
2004-12-13,22.55,23.13,22.0,22.43,22.43,39706100,AMD
2004-12-20,22.5,22.6,20.51,22.12,22.12,45176600,AMD
2004-12-27,22.26,22.37,21.55,22.02,22.02,28054400,AMD
2005-01-03,22.11,22.3,19.15,19.92,19.92,76217800,AMD
2005-01-10,20.1,20.49,14.63,15.16,15.16,191519400,AMD
2005-01-17,15.05,15.87,15.05,15.49,15.49,67304600,AMD
2005-01-24,15.6,16.32,15.11,15.71,15.71,51190900,AMD
2005-01-31,16.0,17.49,15.74,17.49,17.49,50247700,AMD
2005-02-07,17.53,18.45,17.13,18.11,18.11,50846300,AMD
2005-02-14,18.1,18.36,16.78,16.9,16.9,44671100,AMD
2005-02-21,16.79,17.91,16.24,17.77,17.77,57477000,AMD
2005-02-28,17.7,18.02,17.08,17.43,17.43,40093100,AMD
2005-03-07,17.34,17.75,16.3,16.36,16.36,35381100,AMD
2005-03-14,16.36,16.69,15.86,16.08,16.08,36659700,AMD
2005-03-21,16.1,16.22,15.16,16.12,16.12,32452200,AMD
2005-03-28,16.25,16.44,15.11,16.19,16.19,43065400,AMD
2005-04-04,16.18,17.38,15.67,17.09,17.09,54144600,AMD
2005-04-11,17.09,17.5,15.41,15.45,15.45,72792400,AMD
2005-04-18,15.45,15.6,14.45,14.6,14.6,50172000,AMD
2005-04-25,14.8,15.09,14.08,14.23,14.23,30868300,AMD
2005-05-02,14.21,15.02,14.21,14.9,14.9,25383400,AMD
2005-05-09,15.08,15.85,14.85,15.48,15.48,37060900,AMD
2005-05-16,15.7,16.12,15.38,16.0,16.0,27904900,AMD
2005-05-23,16.12,16.62,15.76,16.21,16.21,31207600,AMD
2005-05-30,16.15,17.34,16.15,17.08,17.08,27262400,AMD
2005-06-06,17.0,18.34,16.81,17.57,17.57,54655700,AMD
2005-06-13,17.45,17.7,16.58,17.44,17.44,31928100,AMD
2005-06-20,17.23,18.23,17.1,17.17,17.17,30619700,AMD
2005-06-27,17.11,17.73,16.63,17.45,17.45,30989900,AMD
2005-07-04,17.74,19.03,17.6,18.94,18.94,31936300,AMD
2005-07-11,19.05,20.17,18.71,20.01,20.01,62622800,AMD
2005-07-18,19.95,20.84,19.78,20.49,20.49,39445700,AMD
2005-07-25,20.22,20.36,19.2,20.08,20.08,35832800,AMD
2005-08-01,20.08,20.7,19.82,19.91,19.91,22415700,AMD
2005-08-08,20.08,21.3,19.91,20.7,20.7,33035100,AMD
2005-08-15,20.63,21.27,20.28,20.55,20.55,30828600,AMD
2005-08-22,20.67,21.18,20.35,21.0,21.0,23088700,AMD
2005-08-29,20.9,21.22,20.3,20.9,20.9,30471000,AMD
2005-09-05,21.05,24.03,20.96,23.85,23.85,41521400,AMD
2005-09-12,23.71,23.95,22.41,22.65,22.65,47021500,AMD
2005-09-19,22.52,23.28,21.77,22.98,22.98,45969700,AMD
2005-09-26,23.76,25.75,23.2,25.2,25.2,62507900,AMD
2005-10-03,25.47,26.07,23.59,24.0,24.0,56558200,AMD
2005-10-10,24.3,24.45,20.5,21.19,21.19,98974200,AMD
2005-10-17,21.36,21.95,20.22,21.85,21.85,49003700,AMD
2005-10-24,22.0,23.04,21.43,22.32,22.32,47193300,AMD
2005-10-31,22.45,24.83,22.43,24.63,24.63,47873200,AMD
2005-11-07,24.76,24.99,23.97,24.76,24.76,39594400,AMD
2005-11-14,24.76,26.95,24.76,26.74,26.74,77663000,AMD
2005-11-21,27.0,27.36,26.05,26.52,26.52,47769400,AMD
2005-11-28,26.68,28.25,25.3,27.95,27.95,54683200,AMD
2005-12-05,27.65,27.77,25.25,26.9,26.9,47915100,AMD
2005-12-12,27.2,28.37,26.66,28.17,28.17,43279900,AMD
2005-12-19,27.81,30.65,27.67,30.5,30.5,49062500,AMD
2005-12-26,30.77,31.84,30.16,30.6,30.6,37188100,AMD
2006-01-02,31.02,34.25,30.88,33.78,33.78,55065700,AMD
2006-01-09,33.75,37.46,32.91,34.13,34.13,91077000,AMD
2006-01-16,32.46,38.4,32.15,35.7,35.7,124685900,AMD
2006-01-23,35.85,40.79,34.67,39.85,39.85,104764500,AMD
2006-01-30,39.62,42.42,39.44,39.54,39.54,76902800,AMD
2006-02-06,40.1,42.09,39.17,40.1,40.1,56112800,AMD
2006-02-13,39.88,41.82,38.32,40.33,40.33,67056200,AMD
2006-02-20,40.58,41.2,39.37,40.54,40.54,47484800,AMD
2006-02-27,40.7,42.7,38.62,39.51,39.51,92662900,AMD
2006-03-06,39.9,40.25,35.6,36.63,36.63,90433400,AMD
2006-03-13,35.5,36.0,32.59,33.95,33.95,129773800,AMD
2006-03-20,33.94,36.16,33.52,36.13,36.13,80764500,AMD
2006-03-27,35.96,36.08,32.95,33.16,33.16,76536300,AMD
2006-04-03,32.2,35.4,32.17,33.69,33.69,73198900,AMD
2006-04-10,33.62,35.75,31.61,31.8,31.8,107012600,AMD
2006-04-17,31.94,32.24,29.97,31.73,31.73,104034800,AMD
2006-04-24,31.9,33.76,31.41,32.35,32.35,60728600,AMD
2006-05-01,32.52,34.5,31.78,34.43,34.43,40591700,AMD
2006-05-08,34.05,34.42,31.25,31.66,31.66,58720500,AMD
2006-05-15,31.6,34.96,29.68,34.95,34.95,115052000,AMD
2006-05-22,34.45,34.75,30.25,31.63,31.63,88892400,AMD
2006-05-29,31.39,31.92,29.95,30.1,30.1,58066000,AMD
2006-06-05,30.05,30.14,26.23,26.75,26.75,98042700,AMD
2006-06-12,26.8,26.97,24.37,25.64,25.64,88255700,AMD
2006-06-19,25.85,26.02,24.62,25.14,25.14,53975600,AMD
2006-06-26,25.3,25.38,23.46,24.42,24.42,64224200,AMD
2006-07-03,24.48,24.72,22.45,23.56,23.56,57696100,AMD
2006-07-10,23.71,23.91,21.23,21.6,21.6,80218400,AMD
2006-07-17,21.35,22.1,18.23,18.26,18.26,122463100,AMD
2006-07-24,17.62,19.1,16.9,19.1,19.1,144609100,AMD
2006-07-31,19.28,21.2,18.84,20.47,20.47,98275600,AMD
2006-08-07,20.28,20.85,19.37,19.78,19.78,68193800,AMD
2006-08-14,19.93,24.76,19.59,23.93,23.93,140957700,AMD
2006-08-21,23.67,25.72,23.29,24.56,24.56,107253400,AMD
2006-08-28,24.54,25.25,23.7,24.66,24.66,71888400,AMD
2006-09-04,25.2,26.23,23.72,25.8,25.8,99052400,AMD
